budget_1e21,N_params_B,D_tokens_B,Q_target,loss,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,coefficient_source,bootstrap_draw,context_tokens_fixed
0.01,2.854618400625675,0.432751888732987,0.99,1.3744985313832088,0.007412049026896197,0.0015759592136325798,0.0010119917604722274,0.010000000001001003,0.7412049026154248,0.15759592134748257,0.10119917603709266,b6_b8_lambda10,26,4096
10.0,76.80567041818713,16.940132688485342,0.99,0.590140739631714,7.806589488672981,0.06169114193525625,2.131719369706969,10.000000000315206,0.7806589488426913,0.006169114193331171,0.2131719369639776,b6_b8_lambda10,26,8192
1000.0,845.4000149595257,154.77132468725296,0.9899999999999995,0.3352780632716751,785.0620812354556,0.5636331151809086,214.37428564936172,999.9999999999982,0.7850620812354571,0.0005636331151809096,0.21437428564936212,b6_b8_lambda10,26,8192
0.01,2.482159417812587,0.48619079836311496,0.99,1.321892516669094,0.007240818414064957,0.0017705685133046194,0.0009886130741336688,0.010000000001503246,0.7240818412976484,0.17705685130384594,0.0988613073985056,b6_b8_lambda10,27,4096
10.0,72.33111369737043,17.981223113865088,0.99,0.551152757995445,7.8036113608005655,0.06548249696066254,2.130906142255941,10.000000000017168,0.7803611360787168,0.006548249696055011,0.21309061422522826,b6_b8_lambda10,27,8192
1000.0,853.240784323608,153.34986361596935,0.99,0.30660026391551637,785.0661474456481,0.5584565585200753,214.375395995825,999.9999999999932,0.7850661474456534,0.0005584565585200791,0.21437539599582645,b6_b8_lambda10,27,8192
0.01,2.6897722408703726,0.4548801998136154,0.9899999999999997,1.3510130423747733,0.007341144806281387,0.0016565442246691466,0.0010023109708842855,0.010000000001834819,0.734114480493442,0.16565442243652007,0.10023109707003795,b6_b8_lambda10,28,4096
10.0,75.62438017297917,17.20308817537593,0.9899999999999991,0.5790996180594905,7.8058372819434725,0.06264875097898248,2.131513967122698,10.000000000045153,0.7805837281908227,0.00626487509786996,0.21315139671130734,b6_b8_lambda10,28,8192
1000.0,864.988099826059,151.26838196939764,0.9899999999999994,0.3289519149288613,785.0721017008306,0.5508763947719131,214.3770219044401,1000.0000000000425,0.7850721017007972,0.0005508763947718896,0.214377021904431,b6_b8_lambda10,28,8192
0.01,2.574669462205378,0.4717225585988559,0.9899999999999969,1.289016589401261,0.007287177997547168,0.0017178793018761008,0.0009949427025984401,0.010000000002021708,0.7287177996073914,0.17178793015287958,0.09949427023972918,b6_b8_lambda10,29,4096
