coefficient_source,boundary_scheme,cost_function,budget_from_1e21,budget_to_1e21,delta_N_B,delta_D_B,delta_Q,delta_train_share,delta_quality_share,delta_attention_share,loss_drop,share_total_variation,N_upper_active_after,Q_upper_active_both
b6_b8_lambda10,expanded,power,0.01,10.0,78.52028119066622,18.594610190866828,-6.661338147750939e-16,0.15329830775274012,-0.16376347222866067,0.010465164475920406,0.7772495817619878,0.16376347222866058,False,True
b6_b8_lambda10,expanded,power,10.0,1000.0,840.1485884299888,150.15271670044245,6.661338147750939e-16,0.005885600472926189,-0.006287390798544463,0.00040179032561840633,0.239224919985156,0.0062873907985445295,False,True
b6_b8_lambda10,expanded,power,1000.0,10000.0,2193.791111976381,331.5114401544782,0.0,0.00040361713765135754,-0.0004311707342484147,2.7553596597007513e-05,0.0771525727259928,0.0004311707342483899,True,True
b6_b8_lambda10,expanded,power,10000.0,100000.0,1884.7963588316752,2619.236852634057,-7.771561172376096e-16,6.393517595482123e-05,-6.829981729999659e-05,4.364641345178111e-06,0.05505285923549938,6.829981729999796e-05,True,True
b6_b8_lambda10,expanded,power,100000.0,1000000.0,8.185452315956354e-12,880.0327846988807,-6.661338147750939e-16,-0.15055976954522166,-1.8161759063763685e-05,0.15057793130428546,0.004309839901147611,0.15057793130428543,True,True
b6_b8_lambda10,legacy,exponential,0.01,10.0,78.45773601614177,18.631371561662956,0.0,0.12642312542225786,-0.13505361078441736,0.00863048536215947,0.7694630825578138,0.13505361078441736,False,True
b6_b8_lambda10,legacy,exponential,10.0,1000.0,840.1512595070939,150.1347985100493,-3.3306690738754696e-16,0.004443251475516052,-0.004746577442911359,0.00030332596739522655,0.2391133262683124,0.004746577442911319,False,True
b6_b8_lambda10,legacy,exponential,1000.0,10000.0,78.79037811633157,1390.2161632602779,3.3306690738754696e-16,3.39388754400094e-05,-3.625576933666177e-05,2.3168938967088604e-06,0.06791634244859152,3.6255769336690014e-05,True,True
b6_b8_lambda10,legacy,exponential,10000.0,100000.0,9.094947017729282e-13,3440.501894416737,0.0,-0.056180999861720426,-2.5463361849474195e-05,0.05620646322357005,0.021578241925444996,0.05620646322356998,True,True
b6_b8_lambda10,legacy,exponential,100000.0,1000000.0,0.0,8.185452315956354e-12,0.0,-0.0942926020958631,-4.2736986753619006e-05,0.09433533908261661,1.0209888490209096e-11,0.09433533908261667,True,True
