budget_1e21,budget_flops,context_tokens,cost_function,quality_cost_scale,optimizer_success,constraint_violation_1e21,N_params_B,D_tokens_B,Q_target,loss,classic_loss,quality_loss,long_context_gain,mix_linear_loss,mix_kl_penalty,Q_bar,Q_effective,composition_KL,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,N_to_D_ratio,p_top_domain,p_top_share,p_min,mix_effect_scale,mix_kl_weight,message,coefficient_source,boundary_scheme,context_selection_note
10.0,1e+22,8192,power,3.0,True,1.6342482922482304e-13,52.75709498796509,3.0540444994690326,0.9895977262713813,2.6356927653014246,2.6891489926931595,0.010201072118978123,0.051879883005803235,-0.021056409131322947,0.009278992626412977,0.4769626583201957,0.9899760677526017,0.30929975421376593,0.9667350945357603,8.769281775649839,0.26398312981456495,10.000000000000163,0.09667350945357446,0.8769281775649695,0.026398312981456062,17.274501074603624,stackexchange,0.1755036715131028,0.0011177758584719109,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,power,3.0,True,1.6342482922482304e-13,52.75709498796509,3.0540444994690326,0.9895977262713813,2.6356927653014246,2.6891489926931595,0.010201072118978123,0.051879883005803235,-0.021056409131322947,0.009278992626412977,0.4769626583201957,0.9899760677526017,0.30929975421376593,0.9667350945357603,8.769281775649839,0.26398312981456495,10.000000000000163,0.09667350945357446,0.8769281775649695,0.026398312981456062,17.274501074603624,stackexchange,0.1755036715131028,0.0011177758584719109,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000.0,1e+24,8192,exponential,3.0,True,0.0,153.40847824178562,250.96030055285362,0.98969980670196,1.9643854622940946,2.017928478385513,0.01017460880220466,0.051879883005803235,-0.021004924267008288,0.009167182379188513,0.4734123655450309,0.9899999999667642,0.3055727459729505,230.99662684148655,705.925894251756,63.07747890284859,999.9999999960911,0.23099662684238947,0.7059258942545154,0.06307747890309515,0.6112858404450187,stackexchange,0.17779910509374477,0.001228765242895822,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000.0,1e+24,8192,exponential,3.0,True,0.0,153.40847824178562,250.96030055285362,0.98969980670196,1.9643854622940946,2.017928478385513,0.01017460880220466,0.051879883005803235,-0.021004924267008288,0.009167182379188513,0.4734123655450309,0.9899999999667642,0.3055727459729505,230.99662684148655,705.925894251756,63.07747890284859,999.9999999960911,0.23099662684238947,0.7059258942545154,0.06307747890309515,0.6112858404450187,stackexchange,0.17779910509374477,0.001228765242895822,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000.0,1e+24,8192,logarithmic,3.0,True,0.0,156.9434205769237,240.546395685032,0.9897410626952999,1.9670322510925087,2.0205875130054007,0.010174614326799211,0.051879883005803235,-0.02094661632451126,0.009096623090623134,0.47151594247909456,0.9899999949700558,0.30322076968743783,226.51304487755448,711.633792999642,61.85316212123087,999.9999999984274,0.22651304487791069,0.7116337930007611,0.061853162121328145,0.6524455298113182,stackexchange,0.17875696278097133,0.0011455790803377786,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000.0,1e+24,8192,logarithmic,3.0,True,0.0,156.9436856627763,240.54792130859713,0.9897340930628868,1.967031672870844,2.0205870019979977,0.010174609985722555,0.051879883005803235,-0.020958876502991663,0.009108820395918333,0.4718364623563728,0.9899999988963338,0.30362734653061113,226.51486409214428,711.6314770197602,61.85365888809486,999.9999999999993,0.22651486409214444,0.7116314770197606,0.0618536588880949,0.6524424938240659,stackexchange,0.17874179148695538,0.001137892395086436,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000.0,1e+24,8192,power,3.0,True,7.958078640513122e-13,154.90088155736865,246.54167559421427,0.9897248514126485,1.9654825922348125,2.0190350790567355,0.0101746105999039,0.051879883005803235,-0.02097394963426577,0.009126735218241939,0.47226119621251694,0.9899999983408387,0.3042245072747313,229.13713734104755,708.2931483556912,62.56971430326205,1000.0000000000008,0.22913713734104738,0.7082931483556906,0.062569714303262,0.6282949168087986,stackexchange,0.17819930097565134,0.0011455648328812062,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000.0,1e+24,8192,power,3.0,True,0.0,154.87046284522643,246.5445030915244,0.9897401112920757,1.96549138144491,2.019038483421612,0.010174608765457664,0.051879883005803235,-0.021028919226709505,0.009187091490352598,0.4715599156389941,0.99,0.3062363830117533,229.09476783438447,708.3470864626258,62.55814460330925,999.9999989003196,0.2290947680863155,0.7083470872415812,0.06255814467210322,0.6281643309959909,stackexchange,0.1789086903014653,0.0010997070767365562,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10000.0,1e+25,8192,exponential,3.0,True,0.0,278.57661374931877,2023.773579495534,0.9897274011808886,1.8357371605101296,1.8892898129642197,0.01017460878389579,0.051879883005803235,-0.02084909098569373,0.009001712753510806,0.4721440825998048,0.9899999999833237,0.30005709178369355,3382.655944627222,5693.653472067369,923.6905832795402,9999.999999974132,0.3382655944635972,0.5693653472082097,0.09236905832819296,0.13765206571120447,stackexchange,0.17826070011148024,0.001010778985243505,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10000.0,1e+25,8192,exponential,3.0,True,0.0,278.61991204863125,2023.5859610829557,0.9897346348381304,1.8357335140555826,1.8892908761669416,0.010174608808346405,0.051879883005803235,-0.02095212327005916,0.009100035356156925,0.4718116117965948,0.9899999999612094,0.30333451187189747,3382.8680549986684,5693.383441449694,923.7485035516364,10000.0,0.33828680549986684,0.5693383441449694,0.09237485035516364,0.13768622505145428,stackexchange,0.17873120221819697,0.001066671100731289,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
