draw,intercept,slope
304,-17.017774740356188,1.1429921565491408
305,-17.139432784588273,1.1478747335144892
306,-17.362402285653307,1.1558669560801735
307,-17.127739414168623,1.1457675932972695
308,-17.20283253462833,1.1486405544836817
309,-17.654102138916297,1.161514493463696
310,-17.401592011921807,1.1528057831852137
311,-17.239092699683184,1.1506204697857907
312,-17.13356459856831,1.1440990282030508
313,-16.775632997760727,1.1334092624525562
314,-17.066973924930835,1.1430534594030908
315,-16.801494240137615,1.1368786269662257
316,-17.128213163618224,1.1446407650183708
317,-17.24522709860248,1.1474394508935852
318,-17.1928194771404,1.1458368812185595
319,-16.728337889306825,1.1349936093851314
320,-17.27232311139611,1.1492327715374833
321,-17.090509232216803,1.1432302118831366
322,-17.040374403279056,1.142723330614358
323,-17.235908466519845,1.14760734891407
324,-16.807871169256376,1.1350395596041343
325,-17.36895326189148,1.154177908340628
326,-17.225339441214267,1.1481005613524355
327,-17.24609447018933,1.1506120808648768
328,-17.05529281251147,1.142580152761152
329,-17.316364521445372,1.1512497324160182
330,-17.32673199128143,1.1503211110277414
331,-16.897183279067914,1.1402065403532935
332,-17.043215636263685,1.1427912152803794
333,-16.812223898540374,1.1356620575525918
334,-17.118721571952086,1.144198341810222
335,-17.20449578639489,1.1475981369403787
336,-17.251786200385038,1.1479584758754973
337,-16.828803111627508,1.133523222171593
338,-16.660011449407097,1.1312832949097233
339,-16.93308749820923,1.1409220881570452
340,-17.18843477637993,1.1480213551218832
341,-17.243322760343816,1.1493725684372311
342,-17.08206837584047,1.1452116461652653
343,-17.219060692289894,1.147921275743306
344,-17.04987501521715,1.1449691701170195
345,-16.885366860839223,1.136177985502988
346,-17.117520190173813,1.143695108202389
347,-17.142744442344526,1.145548165193897
348,-17.045546385684855,1.1425107241060393
349,-16.872060607247718,1.137850730628376
350,-17.34743377633986,1.1506772590344874
351,-17.088594686222336,1.1470338533345124
352,-17.235317308098637,1.1488726385304673
353,-17.68748825240535,1.166040830205286
354,-17.007576888959633,1.1414254556015164
355,-17.17163404738283,1.145596911349076
356,-17.01618447003765,1.141388240729025
357,-17.273922895743592,1.1476674134195868
358,-16.974364835462413,1.1395491553496688
359,-17.24909024512903,1.1482145852539147
360,-16.984181785227392,1.1406694768208645
361,-17.284570859619016,1.1510527092333136
362,-17.475580450769904,1.1581511926445327
363,-17.179028960280693,1.1477247127974672
364,-17.045049123681537,1.14147293906148
365,-17.27345259280574,1.1505648752688682
366,-17.016011257006177,1.1419729941828678
367,-17.2759697341772,1.149693878137524
368,-17.23741518360836,1.149080644878882
369,-17.152606046138644,1.1466786947258396
370,-17.324035739677758,1.1522586872011633
371,-17.303613426833486,1.151198704046394
372,-17.379449087172567,1.1515550153971235
373,-17.372790439559893,1.1498348167791734
374,-16.848949556467616,1.136024395551132
375,-17.309662467161164,1.150530070923007
376,-16.96545963518997,1.138540320114499
377,-17.361478856142014,1.1521390698260738
378,-17.32405593210275,1.1510205915151315
379,-17.135602717487952,1.145924737841825
380,-17.464858417860597,1.1579073168318876
381,-17.471359492630537,1.153741376236991
382,-16.682142002305742,1.1326671517374614
383,-17.112887817230696,1.143804349917148
384,-17.213229191696986,1.1475376983141168
385,-17.131658048611655,1.145648095738104
386,-16.977125163554863,1.1392768410126628
387,-17.18630433002651,1.147020757811523
388,-17.5874248165129,1.1593692303425414
389,-17.09415822323793,1.1419638438746629
390,-17.316628146625753,1.150172651030131
391,-16.899023614384003,1.138836918466988
392,-17.330432505284634,1.1494447472053888
393,-17.122790088221915,1.1434825081153395
394,-17.190310790328525,1.148368216737773
395,-16.969120891654345,1.1436019675384714
396,-17.543405763310417,1.1566401456894957
397,-16.828567400987733,1.1356383650804174
398,-17.046218364920573,1.1423913116011466
399,-17.262941636928044,1.150268405999337
400,-17.253123120644553,1.1505492733309584
